Month,E,U,Us
"Jan
2017",152152,7468,2424
"Feb
2017",152480,7379,2511
"Mar
2017",153065,7073,2327
"Apr
2017",153255,7089,2324
"May
2017",153069,7000,2116
"Jun
2017",153318,6873,2321
"Jul
2017",153569,6892,2075
"Aug
2017",153503,7082,2258
"Sep
2017",154286,6854,2245
"Oct
2017",153609,6700,2126
"Nov
2017",153805,6774,2278
"Dec
2017",153904,6632,2237
"Jan
2018",154425,6489,2214
"Feb
2018",155197,6581,2469
"Mar
2018",155214,6472,2303
"Apr
2018",155312,6459,2142
"May
2018",155652,6196,1997
"Jun
2018",155762,6447,2269
"Jul
2018",156146,6195,1968
"Aug
2018",155504,6156,2241
"Sep
2018",156015,6073,2074
"Oct
2018",156391,6211,2055
"Nov
2018",156721,6115,2168
"Dec
2018",156817,6389,2149
"Jan
2019",156529,6439,2303
"Feb
2019",156908,6115,2246
"Mar
2019",156755,6182,2174
"Apr
2019",156683,5911,1942
"May
2019",156814,5941,2131
"Jun
2019",157164,5909,1903
"Jul
2019",157525,6008,2102
"Aug
2019",157782,5981,2276
"Sep
2019",158302,5775,1853
"Oct
2019",158474,5957,1946
"Nov
2019",158642,5911,2063
"Dec
2019",158834,5870,2102
